CapTime;Status;Free;Total
28/01/2022-18:52;Open;0379;0593;
28/01/2022-18:57;Open;0379;0593;
28/01/2022-19:02;Open;0379;0593;
28/01/2022-19:07;Open;0387;0593;
28/01/2022-19:12;Open;0390;0593;
28/01/2022-19:17;Open;0395;0593;
28/01/2022-19:23;Open;0395;0593;
28/01/2022-19:28;Open;0397;0593;
28/01/2022-19:33;Open;0398;0593;
28/01/2022-19:38;Open;0397;0593;
