CapTime,Status,Free,Total
28/01/2022-15:07,Open,267,588,
28/01/2022-15:12,Open,273,588,
28/01/2022-15:17,Open,274,588,
28/01/2022-15:22,Open,275,588,
28/01/2022-15:27,Open,273,588,
28/01/2022-15:32,Open,276,588,
28/01/2022-15:37,Open,279,588,
28/01/2022-15:42,Open,277,588,
28/01/2022-15:47,Open,282,588,
28/01/2022-15:52,Open,284,588,
28/01/2022-15:57,Open,280,588,
28/01/2022-16:02,Open,285,588,
28/01/2022-16:07,Open,289,588,
28/01/2022-16:12,Open,292,588,
28/01/2022-16:17,Open,294,588,
28/01/2022-16:22,Open,292,588,
28/01/2022-16:27,Open,291,588,
28/01/2022-16:32,Open,293,588,
28/01/2022-16:37,Open,294,588,
28/01/2022-16:42,Open,297,588,
28/01/2022-16:47,Open,302,588,
28/01/2022-16:52,Open,309,588,
28/01/2022-16:57,Open,309,588,
28/01/2022-17:02,Open,306,588,
28/01/2022-17:07,Open,306,588,
28/01/2022-17:12,Open,316,588,
28/01/2022-17:17,Open,318,588,
28/01/2022-17:22,Open,320,588,
28/01/2022-17:27,Open,322,588,
28/01/2022-17:32,Open,319,588,
28/01/2022-17:37,Open,322,588,
28/01/2022-17:42,Open,327,588,
28/01/2022-17:47,Open,328,588,
28/01/2022-17:52,Open,336,588,
28/01/2022-17:57,Open,340,588,
28/01/2022-18:02,Open,341,588,
28/01/2022-18:07,Open,344,588,
28/01/2022-18:12,Open,348,588,
28/01/2022-18:17,Open,356,588,
28/01/2022-18:22,Open,353,588,
28/01/2022-18:27,Open,354,588,
28/01/2022-18:32,Open,359,588,
28/01/2022-18:37,Open,359,588,
28/01/2022-18:42,Open,358,588,
28/01/2022-18:47,Open,357,588,
28/01/2022-18:52,Open,358,588,
28/01/2022-18:57,Open,361,588,
28/01/2022-19:02,Open,362,588,
28/01/2022-19:07,Open,361,588,
28/01/2022-19:12,Open,362,588,
28/01/2022-19:17,Open,366,588,
28/01/2022-19:23,Open,365,588,
28/01/2022-19:28,Open,364,588,
28/01/2022-19:33,Open,358,588,
28/01/2022-19:38,Open,357,588,
