CapTime,Status,Free,Total
28/01/2022-11:27,Open,0112,0460,
28/01/2022-11:32,Open,0113,0460,
28/01/2022-11:37,Open,0113,0460,
28/01/2022-11:42,Open,0115,0460,
28/01/2022-11:47,Open,0116,0460,
28/01/2022-11:52,Open,0115,0460,
28/01/2022-11:57,Open,0116,0460,
28/01/2022-12:02,Open,0113,0460,
28/01/2022-12:07,Open,0110,0460,
28/01/2022-12:12,Open,0109,0460,
28/01/2022-12:17,Open,0109,0460,
28/01/2022-12:22,Open,0109,0460,
28/01/2022-12:27,Open,0107,0460,
28/01/2022-12:32,Open,0104,0460,
28/01/2022-12:37,Open,0103,0460,
28/01/2022-12:42,Open,0101,0460,
28/01/2022-12:47,Open,0102,0460,
28/01/2022-12:52,Open,0100,0460,
28/01/2022-12:57,Open,0101,0460,
28/01/2022-13:02,Open,0098,0460,
28/01/2022-13:07,Open,0096,0460,
28/01/2022-13:12,Open,0093,0460,
28/01/2022-13:17,Open,0090,0460,
28/01/2022-13:22,Open,0092,0460,
28/01/2022-13:27,Open,0092,0460,
28/01/2022-13:32,Open,0094,0460,
28/01/2022-13:37,Open,0093,0460,
28/01/2022-13:42,Open,0095,0460,
28/01/2022-13:47,Open,0095,0460,
28/01/2022-13:52,Open,0097,0460,
28/01/2022-13:57,Open,0097,0460,
28/01/2022-14:02,Open,0096,0460,
28/01/2022-14:07,Open,0097,0460,
28/01/2022-14:12,Open,0097,0460,
28/01/2022-14:17,Open,0100,0460,
28/01/2022-14:22,Open,0102,0460,
28/01/2022-14:27,Open,0100,0460,
28/01/2022-14:32,Open,0097,0460,
28/01/2022-14:37,Open,0097,0460,
28/01/2022-14:42,Open,0096,0460,
28/01/2022-14:47,Open,0099,0460,
28/01/2022-14:52,Open,0104,0460,
28/01/2022-14:57,Open,0102,0460,
28/01/2022-15:02,Open,0101,0460,
28/01/2022-15:07,Open,0100,0460,
28/01/2022-15:12,Open,0099,0460,
28/01/2022-15:17,Open,0100,0460,
28/01/2022-15:22,Open,0098,0460,
28/01/2022-15:27,Open,0098,0460,
28/01/2022-15:32,Open,0099,0460,
28/01/2022-15:37,Open,0100,0460,
28/01/2022-15:42,Open,0097,0460,
28/01/2022-15:47,Open,0101,0460,
28/01/2022-15:52,Open,0103,0460,
28/01/2022-15:57,Open,0103,0460,
28/01/2022-16:02,Open,0106,0460,
28/01/2022-16:07,Open,0108,0460,
28/01/2022-16:12,Open,0106,0460,
28/01/2022-16:17,Open,0112,0460,
28/01/2022-16:22,Open,0112,0460,
28/01/2022-16:27,Open,0109,0460,
28/01/2022-16:32,Open,0107,0460,
28/01/2022-16:37,Open,0109,0460,
28/01/2022-16:42,Open,0110,0460,
28/01/2022-16:47,Open,0114,0460,
28/01/2022-16:52,Open,0115,0460,
