CapTime;Status;Free;Total
25/01/2022-17:34;Open;0236;0430;
25/01/2022-17:39;Open;0237;0430;
25/01/2022-17:44;Open;0237;0430;
25/01/2022-17:49;Open;0239;0430;
25/01/2022-17:54;Open;0239;0430;
25/01/2022-17:59;Open;0234;0430;
25/01/2022-18:04;Open;0232;0430;
25/01/2022-18:09;Open;0230;0430;
25/01/2022-18:14;Open;0230;0430;
25/01/2022-18:19;Open;0229;0430;
25/01/2022-18:24;Open;0231;0430;
25/01/2022-18:29;Open;0232;0430;
25/01/2022-18:34;Open;0235;0430;
25/01/2022-18:39;Open;0235;0430;
25/01/2022-18:44;Open;0229;0430;
25/01/2022-18:49;Open;0226;0430;
25/01/2022-18:54;Open;0224;0430;
25/01/2022-18:59;Open;0228;0430;
25/01/2022-19:04;Open;0227;0430;
25/01/2022-19:09;Open;0224;0430;
25/01/2022-19:14;Open;0228;0430;
25/01/2022-19:19;Open;0227;0430;
25/01/2022-19:24;Open;0227;0430;
25/01/2022-19:29;Open;0226;0430;
25/01/2022-19:34;Open;0224;0430;
25/01/2022-19:39;Open;0223;0430;
25/01/2022-19:44;Open;0223;0430;
25/01/2022-19:49;Open;0223;0430;
25/01/2022-19:54;Open;0221;0430;
25/01/2022-19:59;Open;0219;0430;
25/01/2022-20:04;Open;0219;0430;
25/01/2022-20:09;Open;0219;0430;
25/01/2022-20:14;Open;0221;0430;
25/01/2022-20:19;Open;0220;0430;
25/01/2022-20:24;Open;0219;0430;
25/01/2022-20:29;Open;0219;0430;
25/01/2022-20:34;Open;0217;0430;
25/01/2022-20:39;Open;0217;0430;
25/01/2022-20:44;Open;0218;0430;
25/01/2022-20:49;Open;0218;0430;
25/01/2022-20:54;Open;0219;0430;
25/01/2022-20:59;Open;0217;0430;
25/01/2022-21:04;Open;0218;0430;
25/01/2022-21:09;Open;0218;0430;
25/01/2022-21:14;Open;0218;0430;
25/01/2022-21:19;Open;0218;0430;
25/01/2022-21:24;Open;0217;0430;
25/01/2022-21:29;Open;0218;0430;
25/01/2022-21:34;Open;0217;0430;
25/01/2022-21:39;Open;0217;0430;
25/01/2022-21:44;Open;0218;0430;
25/01/2022-21:49;Open;0218;0430;
25/01/2022-21:54;Open;0218;0430;
25/01/2022-21:59;Open;0220;0430;
25/01/2022-22:04;Open;0221;0430;
25/01/2022-22:09;Open;0222;0430;
25/01/2022-22:14;Open;0222;0430;
25/01/2022-22:19;Open;0221;0430;
25/01/2022-22:24;Open;0220;0430;
25/01/2022-22:29;Open;0220;0430;
25/01/2022-22:34;Open;0221;0430;
25/01/2022-22:39;Open;0221;0430;
25/01/2022-22:44;Open;0224;0430;
25/01/2022-22:49;Open;0225;0430;
